Trading Simulation Game Results
Your Account Financial Object Values per Period
Period, Financial_Object, Object_Name, Value
6, STOCK, MT, 8.00492
6, STOCK, ELN, 10.3086
6, STOCK, X, 19.659
6, STOCK, YHOO, 23.2454
6, STOCK, INTEL, 9.44816
6, STOCK, MSFT, 36.7271
6, STOCK, CRM, 37.3708
6, STOCK, BP, 46.3184
6, STOCK, DIS, 45.2408
6, STOCK, PG, 69.1137
6, STOCK, JNJ, 120.015
6, STOCK, EOM, 52.7587
6, STOCK, AMZN, 977.435
Trading Simulation Game Results
Your Account Financial Object Values per Period
Period, Financial_Object, Object_Name, Value
1, STOCK, AKS, 5.1359
1, STOCK, Nokia, 2.27441
1, STOCK, XEROX, 4.5041
1, STOCK, MT, 12.5083
1, STOCK, ELN, 23.6401
1, STOCK, X, 12.1786
1, STOCK, YHOO, 16.3997
1, STOCK, INTEL, 18.6573
1, STOCK, MSFT, 17.034
1, STOCK, CRM, 17.5412
1, STOCK, BP, 10.7786
1, STOCK, DIS, 103.959
1, STOCK, PG, 36.6827
1, STOCK, JNJ, 103.616
1, STOCK, EOM, 154.508
1, STOCK, AMZN, 114.514
2, STOCK, AKS, 1.87659
2, STOCK, Nokia, 2.92079
2, STOCK, XEROX, 7.0827
2, STOCK, MT, 13.75
2, STOCK, ELN, 26.7792
2, STOCK, X, 11.9416
2, STOCK, YHOO, 18.4528
2, STOCK, INTEL, 11.242
2, STOCK, MSFT, 29.3551
2, STOCK, CRM, 17.7544
2, STOCK, BP, 6.72734
2, STOCK, DIS, 110.353
2, STOCK, PG, 26.4053
2, STOCK, JNJ, 68.1842
2, STOCK, EOM, 112.031
2, STOCK, AMZN, 54.428
3, STOCK, AKS, 1.48829
3, STOCK, Nokia, 0.930485
3, STOCK, XEROX, 7.43714
3, STOCK, MT, 17.2004
3, STOCK, ELN, 13.0714
3, STOCK, X, 15.012
3, STOCK, YHOO, 29.421
3, STOCK, INTEL, 5.29017
3, STOCK, MSFT, 40.1627
3, STOCK, CRM, 28.0759
3, STOCK, BP, 6.73069
3, STOCK, DIS, 57.7853
3, STOCK, PG, 25.5485
3, STOCK, JNJ, 115.617
3, STOCK, EOM, 151.915
3, STOCK, AMZN, 29.2213
4, STOCK, AKS, 1.81686
4, STOCK, Nokia, 0.8867
4, STOCK, XEROX, 3.92373
4, STOCK, MT, 24.1256
4, STOCK, ELN, 18.8678
4, STOCK, X, 23.0239
4, STOCK, YHOO, 13.6393
4, STOCK, INTEL, 1.79119
4, STOCK, MSFT, 40.6852
4, STOCK, CRM, 15.457
4, STOCK, BP, 9.26717
4, STOCK, DIS, 91.6348
4, STOCK, PG, 31.0485
4, STOCK, JNJ, 131.023
4, STOCK, EOM, 58.7787
4, STOCK, AMZN, 17.4879
5, STOCK, AKS, 2.99503
5, STOCK, Nokia, 1.40747
5, STOCK, XEROX, 6.2981
5, STOCK, MT, 37.4982
5, STOCK, ELN, 15.0712
5, STOCK, X, 4.84129
5, STOCK, YHOO, 12.7226
5, STOCK, INTEL, 0.370067
5, STOCK, MSFT, 26.7649
5, STOCK, CRM, 17.3078
5, STOCK, BP, 16.2473
5, STOCK, DIS, 96.0257
5, STOCK, PG, 45.4239
5, STOCK, JNJ, 74.7946
5, STOCK, EOM, 59.8271
5, STOCK, AMZN, 11.5429
6, STOCK, AKS, 1.42611
6, STOCK, Nokia, 0.875006
6, STOCK, XEROX, 6.81878
6, STOCK, MT, 63.9705
6, STOCK, ELN, 26.4365
6, STOCK, X, 2.35698
6, STOCK, YHOO, 17.8371
6, STOCK, INTEL, 0.619721
6, STOCK, MSFT, 8.10161
6, STOCK, CRM, 29.2318
6, STOCK, BP, 8.60406
6, STOCK, DIS, 48.9785
6, STOCK, PG, 77.7076
6, STOCK, JNJ, 120.304
6, STOCK, EOM, 98.6402
6, STOCK, AMZN, 8.32978
